RunID,RandomSeed,NumSteps,NumDynamicObstacles,Success,Collision,StaticCollisionBuildingID,TriggerRatePercent,AvgCPUms,StdCPUms,MaxCPUms,AvgTriggeredCPUms,MaxTriggeredCPUms,AvgIPOPTIterations,MaxIPOPTIterations,SolverFailureCount,FallbackCount,PeakMemoryMB,MemoryBeforeMB,MemoryAfterMB,MemoryDeltaMB
1,20260616,138,5,1,0,-1,78.2608695652174,2311.5115942029,1229.9767705804,3664.6553,2953.55035185185,3664.6553,21.7222222222222,66,0,0,6358.44921875,6354.44921875,6350.46484375,-3.984375
2,20260617,132,5,1,0,-1,78.7878787878788,2303.83775681818,1207.11027768722,3858.1777,2924.07997596154,3858.1777,20.0769230769231,71,0,0,6362.390625,6359.37890625,6353.63671875,-5.7421875
3,20260618,68,5,0,1,-1,61.7647058823529,1825.01554705882,1448.55570656821,3176.5046,2954.7818,3176.5046,23.4047619047619,46,0,0,6354.6171875,6353.63671875,6354.6171875,0.98046875
4,20260619,138,5,1,0,-1,77.536231884058,2296.90624275362,1244.35973420915,3308.9167,2962.36203457944,3308.9167,21.6448598130841,60,0,0,6354.6171875,6354.6171875,6354.49609375,-0.12109375
5,20260620,133,5,1,0,-1,77.4436090225564,2231.70407443609,1213.63835364355,3373.051,2881.71220679612,3373.051,21.8543689320388,57,0,0,6362.47265625,6354.49609375,6354.69140625,0.1953125
6,20260621,135,5,1,0,-1,77.037037037037,2230.86348222222,1228.20907730832,3982.7921,2895.82987596154,3982.7921,21.1826923076923,68,0,0,6362.7109375,6354.69140625,6354.62109375,-0.0703125
7,20260622,134,5,1,0,-1,77.6119402985075,2189.31923507463,1186.24447406449,3244.3628,2820.85116057692,3244.3628,21.0576923076923,72,0,0,6362.66796875,6354.62109375,6363.625,9.00390625
8,20260623,136,5,1,0,-1,77.2058823529412,1992.78287279412,1087.27340022028,2717.6965,2581.1259847619,2717.6965,19.9904761904762,65,0,0,6363.625,6363.625,6356.6875,-6.9375
9,20260624,134,5,1,0,-1,76.865671641791,1995.88069179104,1099.90606091297,2736.851,2596.58015728155,2736.851,22.4563106796117,65,0,0,6364.6015625,6364.6015625,6355.52734375,-9.07421875
10,20260625,133,5,1,0,-1,75.187969924812,1945.01691804511,1122.0787571256,2707.2546,2586.869815,2707.2546,21.8,65,0,0,6364.61328125,6363.44140625,6363.63671875,0.1953125
11,20260626,136,5,1,0,-1,78.6764705882353,2038.79776691176,1065.94043194946,2764.4837,2591.36703457944,2764.4837,22.4018691588785,75,0,0,6364.6171875,6363.63671875,6355.62109375,-8.015625
12,20260627,140,5,1,0,-1,76.4285714285714,1977.211695,1102.54004076874,2724.9437,2587.00363738318,2724.9437,21.607476635514,65,0,0,6364.69140625,6363.53515625,6363.6328125,0.09765625
13,20260628,138,5,1,0,-1,78.9855072463768,2020.69620217391,1048.01360355873,2707.5704,2558.31051559633,2707.5704,21.7706422018349,64,0,0,6364.609375,6363.6328125,6363.49609375,-0.13671875
14,20260629,132,5,1,0,-1,77.2727272727273,1920.43285,1046.01547950158,2641.9614,2485.26394803922,2641.9614,20.4901960784314,73,0,0,6363.49609375,6363.49609375,6356.58984375,-6.90625
15,20260630,133,5,1,0,-1,77.4436090225564,1929.69683759398,1045.89700378594,2619.9689,2491.74267378641,2619.9689,20.6601941747573,66,0,0,6364.6484375,6364.50390625,6363.56640625,-0.9375
16,20260631,141,5,1,0,-1,78.0141843971631,2141.50708794326,1146.04336801365,3187.0799,2745.02092090909,3187.0799,21.5727272727273,60,0,0,6363.56640625,6363.56640625,6355.65234375,-7.9140625
17,20260632,136,5,1,0,-1,77.9411764705882,2128.62212426471,1139.21008947019,3125.9119,2731.06052264151,3125.9119,21.2830188679245,79,0,0,6363.6640625,6363.56640625,6355.6171875,-7.94921875
