RunID,Step,Sigma,Risk,CPUTimeMs,TriggeredCPUTimeMs,IPOPTIterations,SolverSuccess,FallbackUsed,ReturnStatus,MATLABMemoryMB
1,1,0,0.307760663105353,1.884,NaN,NaN,1,0,not_triggered,6354.44921875
1,2,0,0.308360546799602,0.9232,NaN,NaN,1,0,not_triggered,6354.44921875
1,3,0,0.30610496630729,0.1634,NaN,NaN,1,0,not_triggered,6354.44921875
1,4,0,0.304067938642081,0.1039,NaN,NaN,1,0,not_triggered,6354.44921875
1,5,0,0.308408793405716,1.5415,NaN,NaN,1,0,not_triggered,6354.44921875
1,6,0,0.316133390931163,0.0125,NaN,NaN,1,0,not_triggered,6355.44921875
1,7,0,0.311268511666191,0.0087,NaN,NaN,1,0,not_triggered,6355.46484375
1,8,0,0.318679072740362,0.0089,NaN,NaN,1,0,not_triggered,6355.46484375
1,9,0,0.325659226952186,0.0077,NaN,NaN,1,0,not_triggered,6355.44921875
1,10,0,0.339496960462801,0.0086,NaN,NaN,1,0,not_triggered,6355.44921875
1,11,0,0.328874174824163,0.0083,NaN,NaN,1,0,not_triggered,6355.44921875
1,12,0,0.346098365275521,0.0081,NaN,NaN,1,0,not_triggered,6355.44921875
1,13,0,0.374222988463348,0.0085,NaN,NaN,1,0,not_triggered,6355.44921875
1,14,0,0.352650531845357,0.0083,NaN,NaN,1,0,not_triggered,6355.44921875
1,15,0,0.392252450512811,0.0073,NaN,NaN,1,0,not_triggered,6355.44921875
1,16,0,0.393112275772869,0.0075,NaN,NaN,1,0,not_triggered,6355.44921875
1,17,0,0.432372611141481,0.0074,NaN,NaN,1,0,not_triggered,6355.44921875
1,18,0,0.42852735669543,0.0079,NaN,NaN,1,0,not_triggered,6355.44921875
1,19,0,0.449243322453376,0.0086,NaN,NaN,1,0,not_triggered,6347.55078125
1,20,0,0.416260702460941,0.008,NaN,NaN,1,0,not_triggered,6347.53515625
1,21,0,0.435247536409222,0.0095,NaN,NaN,1,0,not_triggered,6347.53515625
1,22,0,0.464077069852935,0.0082,NaN,NaN,1,0,not_triggered,6347.53515625
1,23,0,0.464560026172106,0.0078,NaN,NaN,1,0,not_triggered,6347.53515625
1,24,0,0.485468631353016,0.008,NaN,NaN,1,0,not_triggered,6347.53515625
