Algorithm,RepeatIndex,ScenarioSeed,NumDynamicObstacles,NumStaticBuildings,Success,Collision,MetricValid,FailureReason,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,PathLengthMeter,EstimatedEnergyJ,EstimatedEnergyWh,Steps
Proposed ET-NMPC,1,2027,5,15,1,0,1,Success,76.2962962962963,2143.60921185185,3325.6085,1202.39927084536,3.4222953240659,1.65327469323922,108.363854499087,12.6107886599985,60.7642243831775,2911.82450204371,0.808840139456587,135
Proposed ET-NMPC,2,2028,5,15,1,0,1,Success,76.6917293233083,2171.34011428571,3324.6896,1206.49720116092,2.97655413168791,1.19007165752504,105.614298232342,11.1346375296319,59.9117895445423,2839.29458396259,0.788692939989608,133
Proposed ET-NMPC,3,2029,5,15,1,0,1,Success,75.7575757575758,2377.02356136364,3973.5158,1371.53153657245,3.56449437930129,1.73040672681887,104.247652177238,10.4223157336044,59.5653569213402,2803.58727009732,0.778774241693699,132
Proposed ET-NMPC,4,2030,5,15,1,0,1,Success,77.2727272727273,2352.80438106061,4107.4384,1332.780545889,4.26229620256902,2.5809665701148,102.73381361144,11.2185705279716,59.4807834250071,2817.29800625017,0.782582779513936,132
Proposed ET-NMPC,5,2031,5,15,1,0,1,Success,78.0141843971631,2058.00077659574,3262.6523,1106.05163099588,3.37341355638648,1.53651268362205,113.117264143932,10.61931574629,59.955366483778,2987.46771572595,0.829852143257207,141
Proposed ET-NMPC,6,2032,5,15,1,0,1,Success,78.5185185185185,2164.96928296296,2942.1674,1137.43667432587,4.09122023353994,2.32538915047562,108.710645939621,12.8100407928201,60.995037832622,2916.7066494026,0.810196291500722,135
Proposed ET-NMPC,7,2033,5,15,1,0,1,Success,77.037037037037,2121.75066592593,2978.6436,1163.44113273532,4.17520112853992,2.47766403640208,105.777587109971,10.9089108527049,59.4194408762897,2870.87606450216,0.797465573472822,135
Proposed ET-NMPC,8,2034,5,15,1,0,1,Success,76.3358778625954,2115.14981068702,3262.0336,1183.83522648695,3.54875917936417,1.84200811093785,103.819239363452,9.94326859221235,59.1689560322196,2774.66018920463,0.770738941445729,131
Proposed ET-NMPC,9,2035,5,15,1,0,1,Success,79.4326241134752,2205.46289219858,2951.2567,1127.36496117418,3.13330318452191,1.36741135605008,109.385763744847,13.3739733727299,63.5636378042805,3037.91155346072,0.843864320405756,141
Proposed ET-NMPC,10,2036,5,15,1,0,1,Success,79.1044776119403,2210.76864104478,3438.5153,1143.91569233704,4.60895931549076,2.89378307675898,106.515178593002,11.3592509633565,59.6154692646849,2863.81803993713,0.795505011093648,134
