Algorithm,Step,px,py,pz,vx,vy,vz,TriggerSignal
Proposed ET-NMPC,1,0,0,3,0,0,0,0
Proposed ET-NMPC,2,0,0,3,0.209497155622598,0.209497155622598,0.0471368600150846,0
Proposed ET-NMPC,3,0.0209497155622598,0.0209497155622598,3.00471368600151,0.418994311245197,0.418994311245197,0.0942737200301692,0
Proposed ET-NMPC,4,0.0628491466867795,0.0628491466867795,3.01414105800453,0.628491466867795,0.628491466867795,0.141410580045254,0
Proposed ET-NMPC,5,0.125698293373559,0.125698293373559,3.02828211600905,0.837988622490393,0.837988622490393,0.188547440060338,0
Proposed ET-NMPC,6,0.209497155622598,0.209497155622598,3.04713686001508,1.04748577811299,1.04748577811299,0.235684300075423,0
Proposed ET-NMPC,7,0.314245733433897,0.314245733433897,3.07070529002263,1.25698293373559,1.25698293373559,0.282821160090508,0
Proposed ET-NMPC,8,0.439944026807456,0.439944026807456,3.09898740603168,1.46648008935819,1.46648008935819,0.329958020105592,0
Proposed ET-NMPC,9,0.586592035743275,0.586592035743275,3.13198320804224,1.67597724498079,1.67597724498079,0.377094880120677,0
Proposed ET-NMPC,10,0.754189760241354,0.754189760241354,3.16969269605431,1.88547440060338,1.88547440060338,0.424231740135761,0
Proposed ET-NMPC,11,0.942737200301692,0.942737200301692,3.21211587006788,2.09497155622598,2.09497155622598,0.471368600150846,0
Proposed ET-NMPC,12,1.15223435592429,1.15223435592429,3.25925273008297,2.30446871184858,2.30446871184858,0.51850546016593,0
Proposed ET-NMPC,13,1.38268122710915,1.38268122710915,3.31110327609956,2.51396586747118,2.51396586747118,0.565642320181015,0
Proposed ET-NMPC,14,1.63407781385627,1.63407781385627,3.36766750811766,2.72346302309378,2.72346302309378,0.6127791801961,0
Proposed ET-NMPC,15,1.90642411616564,1.90642411616564,3.42894542613727,2.93296017871638,2.93296017871638,0.659916040211184,0
Proposed ET-NMPC,16,2.19972013403728,2.19972013403728,3.49493703015839,3.10754114173521,3.10754114173521,0.699196756890421,0
Proposed ET-NMPC,17,2.5104742482108,2.5104742482108,3.56485670584743,3.23847686399933,3.23847686399933,0.728657294399849,0
Proposed ET-NMPC,18,2.83432193461074,2.83432193461074,3.63772243528742,3.33667865569742,3.33667865569742,0.75075269753192,0
Proposed ET-NMPC,19,3.16798980018048,3.16798980018048,3.71279770504061,3.41032999947099,3.41032999947099,0.767324249880973,0
Proposed ET-NMPC,20,3.50902280012758,3.50902280012758,3.78953013002871,3.46556850730117,3.46556850730117,0.779752914142763,0
Proposed ET-NMPC,21,3.85557965085769,3.85557965085769,3.86750542144298,3.49161926037664,3.49161926037664,0.785614333584743,0
Proposed ET-NMPC,22,4.20474157689536,4.20474157689536,3.94606685480146,3.49161926037664,3.49161926037664,0.785614333584743,0
Proposed ET-NMPC,23,4.55390350293302,4.55390350293302,4.02462828815993,3.49161926037664,3.49161926037664,0.785614333584743,0
Proposed ET-NMPC,24,4.90306542897069,4.90306542897069,4.1031897215184,3.49161926037664,3.49161926037664,0.785614333584743,0
Proposed ET-NMPC,25,5.25222735500835,5.25222735500835,4.18175115487688,3.49161926037664,3.49161926037664,0.785614333584743,0
Proposed ET-NMPC,26,5.60138928104601,5.60138928104601,4.26031258823535,3.49161926037664,3.49161926037664,0.785614333584743,0
Proposed ET-NMPC,27,5.95055120708368,5.95055120708368,4.33887402159383,3.49161926037664,3.49161926037664,0.785614333584743,0
Proposed ET-NMPC,28,6.29971313312134,6.29971313312134,4.4174354549523,3.49161926037664,3.49161926037664,0.785614333584744,1
Proposed ET-NMPC,29,6.64887505915901,6.64887505915901,4.49599688831078,3.66642967637414,3.27861636994553,0.898870472831438,1
Proposed ET-NMPC,30,7.01551802679642,6.97673669615356,4.58588393559392,3.83232891838437,3.05348240597898,0.994736275447753,1
Proposed ET-NMPC,31,7.39875091863486,7.28208493675146,4.68535756313869,3.99629101322721,2.81604298389518,1.04859908947806,1
Proposed ET-NMPC,32,7.79838001995758,7.56368923514098,4.7902174720865,4.14633201128484,2.57345662212508,1.08869273270066,1
Proposed ET-NMPC,33,8.21301322108606,7.82103489735348,4.89908674535657,4.22766221887242,2.39699711193367,1.17527741767651,1
Proposed ET-NMPC,34,8.6357794429733,8.06073460854685,5.01661448712422,4.20374491002781,2.47039364294559,1.10710612874703,1
Proposed ET-NMPC,35,9.05615393397609,8.30777397284141,5.12732509999892,4.18527803785535,2.5417251794285,1.01147459587714,1
Proposed ET-NMPC,36,9.47468173776162,8.56194649078426,5.22847255958663,4.13534795457975,2.5759376767978,1.12402952799588,1
Proposed ET-NMPC,37,9.8882165332196,8.81954025846404,5.34087551238622,4.08550728364319,2.60682487508883,1.23007898360902,1
Proposed ET-NMPC,38,10.2967672615839,9.08022274597292,5.46388341074712,4.07745680221828,2.55242694740068,1.36362117328336,1
Proposed ET-NMPC,39,10.7045129418057,9.33546544071299,5.60024552807546,4.14697908589138,2.55701393211496,1.12438614903843,1
Proposed ET-NMPC,40,11.1192108503949,9.59116683392449,5.7126841429793,4.29560420402137,2.38094356002569,0.937492552699033,1
Proposed ET-NMPC,41,11.548771270797,9.82926118992705,5.80643339824921,4.35954724691772,2.18874098575079,1.09716028873943,1
Proposed ET-NMPC,42,11.9847259954888,10.0481352885021,5.91614942712315,4.35835381551954,2.10898805138405,1.24776657186574,1
Proposed ET-NMPC,43,12.4205613770407,10.2590340936405,6.04092608430972,4.36757721142471,1.99474927454881,1.3947202708538,1
Proposed ET-NMPC,44,12.8573190981832,10.4585090210954,6.1803981113951,4.40196209789161,2.06418085806013,1.16699917478283,1
Proposed ET-NMPC,45,13.2975153079724,10.6649271069014,6.29709802887338,4.37705901667677,2.15909483324696,1.08612331969021,1
Proposed ET-NMPC,46,13.7352212096401,10.8808365902261,6.40571036084241,4.37349221669219,2.24808779196008,0.904802249208548,1
Proposed ET-NMPC,47,14.1725704313093,11.1056453694221,6.49619058576326,4.29139928062845,2.40356870363357,0.898192463303307,1
Proposed ET-NMPC,48,14.6017103593721,11.3460022397855,6.58600983209359,4.26833526518538,2.47775063390989,0.801290122324003,1
Proposed ET-NMPC,49,15.0285438858907,11.5937773031765,6.66613884432599,4.30151573681414,2.36410447334393,0.952875860254363,1
Proposed ET-NMPC,50,15.4586954595721,11.8301877505109,6.76142643035143,4.26952457648669,2.46165610221503,0.843450724822562,1
Proposed ET-NMPC,51,15.8856479172207,12.0763533607324,6.84577150283368,4.19584960159043,2.60917710045684,0.766185995229005,1
Proposed ET-NMPC,52,16.3052328773798,12.3372710707781,6.92239010235658,4.13433326298084,2.69230977122455,0.811638199186701,1
Proposed ET-NMPC,53,16.7186662036779,12.6065020479005,7.00355392227525,4.06398960073265,2.82066214137777,0.726535346239323,1
Proposed ET-NMPC,54,17.1250651637511,12.8885682620383,7.07620745689919,3.9519442521166,2.98526334267534,0.685812950476618,1
Proposed ET-NMPC,55,17.5202595889628,13.1870945963058,7.14478875194685,3.91194686097698,3.05075886442433,0.624133085189984,1
Proposed ET-NMPC,56,17.9114542750605,13.4921704827483,7.20720206046585,3.8434556123328,3.13573303938607,0.628511942392581,1
Proposed ET-NMPC,57,18.2957998362938,13.8057437866869,7.2700532547051,3.81413762439976,3.14209897219358,0.761293787626155,1
