TrialIndex,ScenarioSeed,AlgorithmMode,UseAsymmetricEnergy,c1,c2,c3,Success,Collision,TotalClimbMeter,EstimatedEnergyWh,PathLengthMeter,FlightTimeSec,MinClearanceMeter,TriggerRatePercent,ControlEffort,Steps
1,2027,Asymmetric ET-NMPC,1,1,0.1,3,1,0,12.520979558374,0.228380241347184,60.8370775801888,13.4,1.65327469323922,76.865671641791,107.522086316495,134
1,2027,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,12.6892579141869,0.232954485432512,61.8254745432046,13.7,1.65623895798575,77.3722627737226,109.238555787893,137
2,2028,Asymmetric ET-NMPC,1,1,0.1,3,1,0,11.030650244163,0.220128594002904,60.2247329243098,13.3,1.19007165752504,76.6917293233083,105.736468089859,133
2,2028,Symmetric-energy ET-NMPC,0,1,0.1,0,0,1,8.63517532678368,0.145484345174101,36.3517854933746,8.3,1.1918171087534,65.0602409638554,62.8083194971085,83
3,2029,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.12816846843,0.213362422370445,59.612969151019,13.1,1.73040672681887,76.3358778625954,103.473306485034,131
3,2029,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.4110755084123,0.214687006390295,59.6273122763332,13.1,1.72424438962139,76.3358778625954,103.608486044898,131
4,2030,Asymmetric ET-NMPC,1,1,0.1,3,1,0,11.1630976463987,0.218163987217252,59.5961864546418,13.1,2.52572164823927,77.8625954198473,101.986826679791,131
4,2030,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.1384744781557,0.218064059972289,59.7128392386444,13.1,2.51703317404841,77.8625954198473,102.666242380682,131
5,2031,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.662691485089,0.2273002375501,60.1109254770486,14,1.53651268362205,78.5714285714286,112.060615424727,140
5,2031,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.7865872735612,0.231684061436626,60.3306619342172,14.3,1.52215729707176,78.3216783216783,114.538025641722,143
6,2032,Asymmetric ET-NMPC,1,1,0.1,3,1,0,12.558535127781,0.227298494027851,60.7041231806132,13.3,2.32538915047562,78.9473684210526,107.198739749074,133
6,2032,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,12.6557041527725,0.229008522115898,60.9242535457834,13.4,2.32676628293998,79.1044776119403,107.473686529036,134
7,2033,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.811620621339,0.221606608352471,59.763403372088,13.5,2.4489520005291,77.037037037037,105.790269532569,135
7,2033,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.7398677304995,0.221273780661367,59.7158024558617,13.5,2.54797147740481,77.037037037037,105.89650612865,135
8,2034,Asymmetric ET-NMPC,1,1,0.1,3,1,0,9.95083327721698,0.212538326815809,59.508915048838,13.1,1.84200811093785,76.3358778625954,103.667397079292,131
8,2034,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.0448063688134,0.212976980067832,59.5245834908515,13.1,1.80332757421954,76.3358778625954,103.652307094023,131
9,2035,Asymmetric ET-NMPC,1,1,0.1,3,1,0,13.4276371293198,0.240168165024332,63.4870266237251,14,1.36741135605008,80,109.88627812437,140
9,2035,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.4873888291672,0.222304634847948,60.3519762661519,13.3,1.29344370272302,78.9473684210526,107.645330712022,133
10,2036,Asymmetric ET-NMPC,1,1,0.1,3,1,0,11.2207140979879,0.222282160817226,59.9169569696163,13.4,2.73855475199574,78.3582089552239,106.442837462429,134
10,2036,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.179833542318,0.220821717957735,59.8253520174694,13.3,2.76793389799672,78.9473684210526,105.566585595077,133
11,2037,Asymmetric ET-NMPC,1,1,0.1,3,1,0,12.8590273432495,0.232484632694869,61.4281673301893,13.6,2.12064783308875,77.9411764705882,108.657223327426,136
11,2037,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,12.7789739672715,0.232114486282773,61.4545745191027,13.6,1.99406858593883,77.9411764705882,108.828998033339,136
12,2038,Asymmetric ET-NMPC,1,1,0.1,3,1,0,12.6501095518716,0.230244619955062,61.4309055334602,13.5,1.97790397335499,79.2592592592593,108.024154323648,135
12,2038,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,12.6298715493543,0.231419066648318,61.6972878623422,13.6,1.98272164013492,78.6764705882353,108.878572763628,136
13,2039,Asymmetric ET-NMPC,1,1,0.1,3,1,0,11.3095892152164,0.220175788119353,60.0945036605172,13.2,1.55158315940614,77.2727272727273,105.473246772178,132
13,2039,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.2980454274063,0.22012164720102,60.0852260088633,13.2,1.55280493071526,77.2727272727273,105.463574556154,132
14,2040,Asymmetric ET-NMPC,1,1,0.1,3,1,0,13.3852340579272,0.238757128591313,62.5706941191957,13.9,1.76501043208051,79.136690647482,111.553370003377,139
14,2040,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,12.6133745614822,0.233889260921951,61.6340376022713,13.8,1.98047104399106,78.9855072463768,111.005217599075,138
15,2041,Asymmetric ET-NMPC,1,1,0.1,3,1,0,11.1974271058914,0.220911616578159,59.8303175170913,13.3,2.2430810805944,79.6992481203008,105.913605114386,133
15,2041,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.1695952292584,0.222045881108736,59.8672313840032,13.4,2.2436661801352,79.8507462686567,106.556167056862,134
16,2042,Asymmetric ET-NMPC,1,1,0.1,3,1,0,11.3726614854796,0.229284902528333,60.0254278532208,13.9,2.24089258999704,78.4172661870504,108.374702934518,139
16,2042,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.3393443239572,0.224048530553475,60.0786010717618,13.5,2.26440720890578,77.7777777777778,104.741707377379,135
17,2043,Asymmetric ET-NMPC,1,1,0.1,3,1,0,12.5509899996847,0.231125343446337,61.3915132273396,13.6,1.46120296063515,78.6764705882353,112.243057294291,136
17,2043,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,9.75431369425948,0.212930350118262,59.2736287045152,13.2,1.28982751206292,78.030303030303,106.369669449956,132
18,2044,Asymmetric ET-NMPC,1,1,0.1,3,1,0,14.4327337247831,0.25889983881019,63.0321653448473,15.1,0.620484064938986,79.4701986754967,122.775935598778,151
18,2044,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,14.706811996134,0.252592348859678,63.4485581849635,14.5,1.38486725729012,79.3103448275862,118.823719783926,145
19,2045,Asymmetric ET-NMPC,1,1,0.1,3,1,0,11.4284794834258,0.228343584138278,60.5603388429756,13.8,1.28767731029449,78.2608695652174,110.531634813797,138
19,2045,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.4609239560455,0.228497157976008,60.6670510361591,13.8,1.29272353664077,78.2608695652174,110.622165874483,138
20,2046,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.5683349426309,0.21542155231752,59.639240597193,13.1,1.6369296434788,77.0992366412214,103.604873133927,131
20,2046,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.3754461505552,0.218377332373891,60.5403290281992,13.4,0.876622466866239,77.6119402985075,108.412955319096,134
21,2047,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.1429634034562,0.218584403091732,59.4176132445156,13.5,1.08690771716299,80,110.352332244246,135
21,2047,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.3157219860068,0.218124788445354,59.7051208066357,13.4,1.20601101853783,79.8507462686567,109.60335112534,134
22,2048,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.6453449297987,0.218271391324672,59.5777731910352,13.3,2.78517038393452,76.6917293233083,103.159029010433,133
22,2048,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.653815275798,0.218310788067169,59.5840378216395,13.3,2.78449773420037,76.6917293233083,103.15129468877,133
23,2049,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.9306037870103,0.217047531646572,59.631129536518,13.1,3.35967274380103,75.5725190839695,100.61985658349,131
23,2049,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.9254557930668,0.217022296068156,59.6399140205237,13.1,3.36026287671495,75.5725190839695,100.566437424471,131
24,2050,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.5837029212836,0.218004642120488,59.5115826894167,13.3,2.36876189550243,76.6917293233083,104.113345612129,133
24,2050,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.5953595290326,0.218058858352855,59.5185311359388,13.3,2.36972771152791,76.6917293233083,104.102690596851,133
25,2051,Asymmetric ET-NMPC,1,1,0.1,3,1,0,13.3022511309345,0.261143386180128,65.4099835810005,15.7,1.18351073818968,79.6178343949045,123.879158224301,157
25,2051,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,13.3063469230587,0.26116244203116,65.4064153810457,15.7,1.18113567803748,79.6178343949045,123.87567750493,157
26,2052,Asymmetric ET-NMPC,1,1,0.1,3,1,0,9.78391294594175,0.213000188790658,59.2928551429332,13.2,1.74838405294242,76.5151515151515,103.290224157716,132
26,2052,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,9.93033999537305,0.21240798320959,59.3769782464373,13.1,1.69265835341069,76.3358778625954,102.109915404201,131
27,2053,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.6316342750404,0.21580561520341,59.8070517680276,13.1,1.04203575832336,80.9160305343512,107.581279050297,131
27,2053,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.1067434617797,0.219297934050758,60.0444980236267,13.2,1.03809707691241,80.3030303030303,108.610888854285,132
28,2054,Asymmetric ET-NMPC,1,1,0.1,3,1,0,10.8296995560504,0.216571761225235,59.458501972998,13.1,2.21945606254073,75.5725190839695,100.421698460139,131
28,2054,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,10.8373320934519,0.216604823590923,59.4619575553707,13.1,2.22655667130533,75.5725190839695,100.305036518043,131
29,2055,Asymmetric ET-NMPC,1,1,0.1,3,1,0,12.495677216288,0.229544554688656,60.8284088190784,13.5,2.39983838229211,77.7777777777778,108.985100451262,135
29,2055,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,12.4806421459969,0.229470714412404,60.8071975236112,13.5,2.40054678303896,77.7777777777778,108.822874581827,135
30,2056,Asymmetric ET-NMPC,1,1,0.1,3,1,0,11.0297914259441,0.221290458870341,59.8326740644066,13.4,3.29780127699943,76.1194029850746,101.950922982972,134
30,2056,Symmetric-energy ET-NMPC,0,1,0.1,0,1,0,11.0479904359456,0.220104451035377,59.7544240445542,13.3,3.29740110184449,75.9398496240601,101.004878521414,133
